,index,A_start,beta_start,rho_start,A_hat,beta_hat,rho_hat,nloglik,code,set
69,85,1.37213453814398e-05,0.001716698,0.000321741,2.84381361933251e-08,0.002297423,0.000378923,206.7539729,0,combination 4
710,86,9.87766273091858e-05,0.001639163,0.000331173,1.46049633566409e-08,0.002097088,0.044367805,172.4709217,0,combination 4
107,87,9.13951271549843e-05,0.001327023,0.000492348,1.15267446141e-08,0.002167381,0.045759209,177.3554481,0,combination 4
18,88,8.95883990768986e-05,0.001505158,0.000400682,3.6743912027003e-09,0.002700729,0.005494925,272.4370241,0,combination 4
108,89,1.43584400950743e-05,0.001724124,0.000330943,2.26630176881925e-08,0.002420622,5.29471262132243e-07,201.242822,0,combination 4
610,90,3.47254384292334e-05,0.001560576,0.000370761,3.78126260825216e-09,0.002032736,0.075218412,171.4084727,0,combination 4
58,91,8.01025254980406e-05,0.002050278,0.000323973,1.45636994795763e-08,0.002627786,2.87898899826814e-08,220.1572392,0,combination 4
99,92,1.40158918754109e-05,0.00156916,0.000354031,1.19786546450838e-08,0.002148217,0.047626178,170.9976823,0,combination 4
311,93,0.000198484,0.001628931,0.000313225,8.20814866679033e-09,0.002574631,5.58495975467855e-08,225.441176,0,combination 4
19,94,0.000104876,0.00184995,0.000301531,2.47380198723785e-08,0.002432821,2.07904824947216e-08,179.6744087,0,combination 4
110,95,0.000107944,0.001311994,0.000361436,1.92521321906948e-08,0.002147802,0.029501764,172.0975636,0,combination 4
85,96,5.53310675388779e-05,0.0015924,0.000416126,2.54094592653291e-08,0.002367132,6.89820406777319e-07,191.1270952,0,combination 4
312,97,1.1226130697109e-05,0.001389106,0.000385837,8.6710610507866e-09,0.002017151,0.066803915,167.3004452,0,combination 4
44,98,1.8766606701712e-05,0.001842732,0.000433745,1.36373115298648e-08,0.002665255,4.59030558795684e-08,230.6121438,0,combination 4
45,99,6.86621842417411e-05,0.001654894,0.000384228,2.41240029819617e-08,0.002432502,3.73039777679873e-08,191.8566579,0,combination 4
910,100,9.8004572697893e-06,0.001685887,0.000300109,1.30868953698074e-08,0.002132867,0.04111113,183.3724722,0,combination 4
86,101,8.96398439105511e-05,0.001325917,0.000489755,5.21612729863989e-09,0.002427127,0.015396418,245.1257987,0,combination 4
59,102,5.10810061658245e-05,0.001642498,0.000503034,2.65842118560616e-08,0.002405369,8.28647492870685e-09,172.1033609,0,combination 4
46,103,4.15317150397138e-05,0.001631713,0.000393231,3.39465056876746e-09,0.002086341,0.073728297,178.9924903,0,combination 4
711,104,5.0970667333616e-05,0.001759681,0.000313311,1.2953253535183e-10,0.002579143,0.030828468,216.7286284,0,combination 4
87,105,3.88984467492383e-05,0.001754638,0.000322422,1.11340360666108e-08,0.002240167,0.047338515,162.6892826,0,combination 4
611,106,3.29414156829517e-05,0.001739779,0.000408615,2.0410870411233e-15,0.002183803,0.073852097,201.1410314,0,combination 4
510,107,0.000173107,0.001521362,0.000314475,1.96217424860534e-08,0.002395553,0.009848989,191.0866258,0,combination 4
109,108,7.5414706292387e-05,0.001819847,0.000323428,9.51365094253961e-14,0.002562416,0.037714567,233.4436594,0,combination 4
313,109,0.000174549,0.001502653,0.000356286,1.72210523582426e-08,0.002462376,0.007843916,210.0740798,0,combination 4
47,110,1.23818200563956e-05,0.001727961,0.000356889,1.18730376726533e-08,0.002162736,0.046781094,170.7527309,0,combination 4
213,111,2.01486240036131e-05,0.001400368,0.000437667,1.3108678796459e-08,0.002498351,0.017678507,219.7483128,0,combination 4
111,112,3.13180349054059e-05,0.001519103,0.000373255,1.22443382982509e-10,0.002037483,0.087628142,189.4076992,0,combination 4
612,113,9.08411900677131e-05,0.001685955,0.000343814,3.35447750893241e-11,0.002082944,0.093258264,188.6153346,0,combination 4
88,114,2.58705256098028e-05,0.001815549,0.00047416,1.69472949816089e-08,0.002507763,0.007455234,204.4091233,0,combination 4
314,115,3.48804991371508e-05,0.001586107,0.000393813,7.15174214179709e-09,0.002095781,0.064167736,167.7366843,0,combination 4
911,116,4.03090865837754e-05,0.001284278,0.000565917,1.15983266732589e-08,0.002207915,0.040159259,184.8980019,0,combination 4
214,117,1.48761355745517e-05,0.002100938,0.000342347,1.82619016680469e-08,0.002541472,5.43931064431119e-08,213.7429371,0,combination 4
215,118,3.94924696291608e-05,0.001425216,0.000512077,3.07121990245366e-09,0.002170176,0.068075855,179.6160188,0,combination 4
112,119,0.000132299,0.001731906,0.000311826,2.7818061580096e-08,0.002348002,2.59714711989729e-07,166.7212962,0,combination 4
1010,120,8.4288362735195e-05,0.001533335,0.000437645,2.9445022050495e-09,0.002275159,0.063061761,180.8061354,0,combination 4
48,121,8.46888611615447e-05,0.001673902,0.000308497,2.16020962045217e-08,0.00243583,6.09721150735951e-08,209.4573307,0,combination 4
113,122,2.28564956459494e-05,0.001775356,0.000382021,1.26098609567772e-08,0.002669043,3.87638066079798e-08,239.5312553,0,combination 4
49,123,6.42735808745038e-05,0.002211655,0.000312033,2.38025511591937e-08,0.002499593,2.3156198683942e-08,185.2578605,0,combination 4
1011,124,2.61380167368445e-05,0.001678358,0.000358497,7.92054289470417e-15,0.002220447,0.099975746,209.9969441,0,combination 4
712,125,4.88250689137871e-05,0.001847164,0.000338407,8.28368614519165e-09,0.002177764,0.053561269,175.9185482,0,combination 4
613,126,4.41223957268433e-05,0.001303491,0.00047914,8.55218073059313e-09,0.002209018,0.052340273,173.2734722,0,combination 4
216,127,4.80792269253349e-05,0.001740441,0.000302335,3.69650453007096e-09,0.002240695,0.049990027,208.5814757,0,combination 4
410,128,0.000118578,0.001593911,0.000309134,1.95443573287924e-08,0.002308462,0.013606785,199.2460489,0,combination 4
315,129,3.02607524099272e-05,0.002008104,0.000357343,1.54368451084119e-08,0.0026452,3.99997934130954e-08,212.0546437,0,combination 4
614,130,8.13486209306644e-07,0.002195222,0.000338064,2.20960453030658e-08,0.002467453,5.34128132552448e-09,191.8890816,0,combination 4
615,131,6.39719167207911e-05,0.001418221,0.000306929,8.17781565738311e-09,0.002049839,0.062234752,176.7722896,0,combination 4
411,132,9.91901159704142e-05,0.001522187,0.000351324,1.93163166282408e-08,0.002485563,0.012899921,196.3478631,0,combination 4
114,133,4.88490922280698e-05,0.001554165,0.000381706,8.28804938604068e-10,0.002200418,0.073582723,180.1512336,0,combination 4
713,134,3.95870414549928e-05,0.001469923,0.000452858,2.45023665669243e-08,0.002368714,1.37347587655093e-09,204.2099274,0,combination 4
616,135,4.34098675125522e-05,0.002023369,0.000444466,7.3439911234586e-14,0.002963437,1.58889570688227e-05,291.3802684,0,combination 4
617,136,6.43681104143394e-06,0.00176406,0.000412966,2.37692116820443e-08,0.002236436,0.012085203,181.2346074,0,combination 4
1012,137,8.20809578502529e-06,0.001625054,0.00031154,2.36469971459391e-10,0.001892129,0.096015002,175.2845672,0,combination 4
217,138,3.83751239973564e-05,0.001849708,0.000397236,1.23618131370192e-08,0.002359233,0.034505067,177.5653715,0,combination 4
912,139,4.02274083798929e-06,0.002222082,0.000307989,8.72172164590707e-09,0.002073597,0.069043453,161.7722109,0,combination 4
89,140,0.000222851,0.001423747,0.000308659,2.37494031282468e-08,0.00239124,2.3089130064841e-08,196.5661657,0,combination 4
511,141,2.17330490441472e-05,0.001543802,0.000404717,7.88930899284992e-09,0.002215316,0.053287067,169.4553962,0,combination 4
115,142,4.33558208068644e-05,0.001853691,0.000315271,1.39273000218532e-10,0.002251546,0.071091196,195.5472124,0,combination 4
116,143,0.000134891,0.001201014,0.000541138,9.67441397300168e-09,0.00223514,0.045125304,182.0109878,0,combination 4
913,144,3.46785093832872e-05,0.001452025,0.000410978,1.24852327562014e-08,0.002162416,0.042603435,160.7125173,0,combination 4
810,145,6.59851872051512e-05,0.002066191,0.000301372,1.99772237082259e-08,0.002626294,5.87761217782473e-08,188.4958255,0,combination 4
117,146,3.15498865780398e-06,0.00144332,0.000482297,7.09431269447859e-10,0.002168804,0.075798621,177.5371415,0,combination 4
1013,147,1.51810652872525e-06,0.00159906,0.000559724,2.23222718145593e-08,0.002626231,5.42014094688052e-08,223.3647974,0,combination 4
512,148,5.65540970717135e-05,0.001343981,0.000441636,1.21251613963202e-08,0.002147986,0.050892741,159.9328275,0,combination 4
1014,149,4.07811748802806e-05,0.001257671,0.000506996,1.73351527646933e-09,0.002180652,0.060326948,195.7538165,0,combination 4
714,150,7.7220817371735e-05,0.001231336,0.000453404,1.04838606869267e-08,0.002014508,0.056792341,157.5029013,0,combination 4
914,151,0.000127059,0.001621535,0.000339473,2.28247006238479e-08,0.002415379,1.71067144685414e-08,213.739821,0,combination 4
412,152,3.54847753941192e-05,0.00175676,0.0003725,2.03398202674213e-08,0.002478393,3.32039097346733e-05,211.9749215,0,combination 4
915,153,3.26914183826529e-05,0.001740581,0.000395392,4.17823373022779e-09,0.002103453,0.072602397,170.0135201,0,combination 4
316,154,0.000109474,0.002108364,0.00032091,2.10747515471361e-08,0.002537561,8.57925058834134e-07,191.9163898,0,combination 4
218,155,2.4319109447378e-05,0.001426568,0.000557506,2.47693177405115e-08,0.002352333,0.001665859,198.2813998,0,combination 4
413,156,3.06804340643254e-05,0.001913451,0.00031037,3.87440971530512e-16,0.002111403,0.079664875,187.8837785,0,combination 4
414,157,4.50393665674187e-06,0.001889559,0.000314992,9.42063649267769e-09,0.002139404,0.049661482,185.3768339,0,combination 4
219,158,6.40820956211615e-05,0.00172697,0.00033588,1.42861307662833e-08,0.002051084,0.047926597,167.3550208,0,combination 4
715,159,6.44668899605926e-05,0.00176165,0.000373989,1.60438296332613e-08,0.002272818,0.025789324,198.7009115,0,combination 4
415,160,4.32523246735944e-05,0.001462282,0.000428852,1.26049763158434e-08,0.002353962,0.032584117,178.663792,0,combination 4
716,161,4.14477189492079e-05,0.001775517,0.000301462,1.76253791327305e-08,0.002353587,0.016510291,194.9220872,0,combination 4
811,162,0.000105896,0.001308939,0.000433075,1.72208408055752e-08,0.002286594,0.023469991,184.5564689,0,combination 4
1015,163,7.97936037095807e-05,0.001716221,0.00030755,1.17610648059608e-08,0.002344627,0.035841077,166.7249796,0,combination 4
118,164,3.26186940220063e-05,0.002174709,0.000310112,1.64889759249532e-08,0.002355869,0.018549697,192.7710831,0,combination 4
1016,165,3.01112189130736e-05,0.001806302,0.000376631,1.47160903200384e-08,0.002206221,0.04307804,156.7994232,0,combination 4
119,166,8.95847433732368e-05,0.001540845,0.000434232,8.41103266079134e-09,0.002042817,0.069465739,161.3603165,0,combination 4
513,167,8.28361475522042e-05,0.001750611,0.000343212,1.98332003126295e-08,0.002363805,0.009953655,196.7010347,0,combination 4
618,168,0.000117747,0.001523469,0.000355599,1.44756851926004e-08,0.002318387,0.032318825,173.8627615,0,combination 4
1017,169,2.09434134498749e-05,0.001749775,0.000305634,1.82620890344466e-08,0.002330932,0.02015786,177.6054779,0,combination 4
1018,170,0.000137408,0.001651164,0.000313375,2.37739448963372e-08,0.002395442,1.59338637598708e-06,214.2061748,0,combination 4
916,171,0.000109336,0.00166342,0.000323099,7.62512231165862e-09,0.002148721,0.049777731,193.9907628,0,combination 4
1019,172,6.0142023727106e-05,0.001736849,0.000328177,1.67632115558766e-08,0.002298319,0.019279748,201.5561142,0,combination 4
220,173,9.20598868727462e-06,0.002009514,0.000347598,2.55287094156521e-15,0.002149013,0.111050096,229.2800568,0,combination 4
514,174,6.65145804374257e-05,0.001496312,0.000346907,9.55912099536298e-09,0.002144606,0.047314228,159.286767,0,combination 4
120,175,5.95126601909066e-06,0.001903656,0.000327115,1.78037199910019e-08,0.002541034,1.41683927980113e-07,225.9196148,0,combination 4
812,176,4.71288213059849e-05,0.001687554,0.000348998,3.01505647703167e-09,0.002187846,0.083525665,191.9210296,0,combination 4
221,177,4.27677902430739e-05,0.001752674,0.000366569,2.16429104378976e-08,0.002445681,1.54718204817876e-07,200.91401,0,combination 4
222,178,9.14807451375804e-06,0.00147344,0.000583419,2.93689825206478e-08,0.002411539,2.12547992704377e-08,197.1702136,0,combination 4
1020,179,2.00658187930517e-06,0.001599361,0.00038306,8.18792724960733e-09,0.002215072,0.047230703,195.9406399,0,combination 4
515,180,1.83413235524847e-05,0.001607503,0.000344105,1.67412032852543e-08,0.002397744,0.01547966,198.2799433,0,combination 4
317,181,4.8933290935861e-05,0.002082905,0.000315849,2.1291552470487e-08,0.002514617,1.32793239379315e-07,194.7751894,0,combination 4
917,182,9.80964726805033e-05,0.001427219,0.000410815,2.58925158841172e-09,0.002130978,0.072364294,184.4170789,0,combination 4
318,183,7.03086852868997e-05,0.001541977,0.000505032,2.37681427811697e-08,0.002435698,8.29145037759066e-06,190.7559082,0,combination 4
1021,184,4.90846684994719e-05,0.001649371,0.000304581,1.88939222700364e-08,0.002204202,0.02520494,181.9672642,0,combination 4
121,185,3.55105984266426e-05,0.001758713,0.00030539,2.31220797703883e-15,0.002270879,0.0960652,221.3387974,0,combination 4
717,186,3.3809648490186e-05,0.001835466,0.000373887,1.20715881896856e-08,0.00240548,0.023780192,198.7136837,0,combination 4
516,187,1.59151223666711e-05,0.001906222,0.000367209,9.5826182048686e-09,0.002334011,0.032029426,205.27099,0,combination 4
918,188,7.23906042260495e-05,0.001487954,0.000565701,1.99585819936605e-09,0.002363367,0.046573703,202.1506953,0,combination 4
813,189,3.86042996690952e-05,0.001666094,0.000385964,2.18616924927704e-08,0.002449644,8.92470257604724e-08,208.0481302,0,combination 4
619,190,6.8428634420371e-05,0.001315939,0.000391299,2.52566348384737e-08,0.002178599,0.016253594,163.6880956,0,combination 4
919,191,4.17680978997622e-05,0.001695582,0.00030936,1.44443326905566e-13,0.002266758,0.059518816,209.4596046,0,combination 4
223,192,1.021222243679e-05,0.00169471,0.000351965,2.01450554899935e-14,0.002220383,0.076183219,218.6667872,0,combination 4
416,193,6.27872650083598e-05,0.001631869,0.000485822,2.3370644087966e-08,0.002458515,1.52462478725089e-07,188.2990199,0,combination 4
319,194,0.000109325,0.001731904,0.000301184,3.73161180077327e-15,0.002298945,0.069445458,204.2549801,0,combination 4
517,195,0.000164802,0.001345635,0.000319933,1.43518152419091e-08,0.002090868,0.042461199,179.596631,0,combination 4
224,196,9.77360531173491e-05,0.001086281,0.000515681,3.73662423961037e-09,0.002028521,0.069360536,196.0676561,0,combination 4
122,197,4.17574223802735e-05,0.001533993,0.000399645,1.71202868602703e-12,0.002206771,0.074772421,197.82249,0,combination 4
518,198,3.09556033054877e-05,0.002064059,0.000300324,6.72288522846365e-09,0.002317707,0.043382561,200.1688951,0,combination 4
123,199,0.000116887,0.00134879,0.000421239,1.15952692256282e-08,0.002266783,0.035055191,197.3449205,0,combination 4
519,200,0.000141757,0.001314168,0.000467009,1.29549759485333e-08,0.002189133,0.043934161,171.4323991,0,combination 4
